adduser	3.137ubuntu1
gzip	1.12-1ubuntu3.2
hdf5-helpers	1.10.10+repack-3.1ubuntu4
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
htop	3.3.0-4build1
humanity-icon-theme	0.6.16
ibverbs-providers	50.0-2ubuntu0.2
icu-devtools	74.2-1ubuntu3.1
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
install-info	7.1-3build2
iproute2	6.1.0-1ubuntu6.4
iputils-ping	3:20240117-1ubuntu0.1
iso-codes	4.16.0-1
java-common	0.75+exp1
javascript-common	11+nmu1
jq	1.7.1-3ubuntu0.24.04.2
kbd	2.6.4-2ubuntu2
keyboard-configuration	1.226ubuntu1.1
keyboxd	2.4.4-2ubuntu17.6
kmod	31+20240202-2ubuntu7.2
krb5-locales	1.20.1-6ubuntu2.8
kubectl	1:583.0.0-0
landscape-client	24.02-0ubuntu5.7
landscape-common	24.02-0ubuntu5.7
latexmk	1:4.83-1
less	590-2ubuntu2.1
libabsl-dev	20220623.1-3.1ubuntu3.2
libabsl20220623t64	20220623.1-3.1ubuntu3.2
libacl1	2.3.2-1build1.1
libaec-dev	1.1.2-1build1
libaec0	1.1.2-1build1
libalgorithm-c3-perl	0.11-2
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-8build3
libalgorithm-merge-perl	0.08-5
libamd-comgr2	6.0+git20231212.4510c28+dfsg-3build2
libamd3	1:7.6.1+dfsg-1build1
libamdhip64-5	5.7.1-3
libaom-dev	3.8.2-2ubuntu0.1
libaom3	3.8.2-2ubuntu0.1
libapache-pom-java	29-2
libapparmor1	4.0.1really4.0.1-0ubuntu0.24.04.7
libappstream5	1.0.2-1build6
libapt-pkg6.0t64	2.8.3
libarchive13t64	3.7.2-2ubuntu0.8
libargon2-1	0~20190702+dfsg-4build1
libarmadillo-dev	1:12.6.7+dfsg-1build2
libarmadillo12	1:12.6.7+dfsg-1build2
libarpack2-dev	3.9.1-1.1build2
libarpack2t64	3.9.1-1.1build2
libasan8	14.2.0-4ubuntu2~24.04.1
libasound2-data	1.2.11-1ubuntu0.3
libasound2t64	1.2.11-1ubuntu0.3
libassuan0	2.5.6-1build1
libatk-bridge2.0-0t64	2.52.0-1build1
libatk-wrapper-java	0.40.0-3build2
libatk-wrapper-java-jni	0.40.0-3build2
libatk1.0-0t64	2.52.0-1build1
libatm1t64	1:2.5.1-5.1build1
libatomic1	14.2.0-4ubuntu2~24.04.1
libatspi2.0-0t64	2.52.0-1build1
libattr1	1:2.5.2-1ubuntu0.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libautovivification-perl	0.18-2build4
libavahi-client3	0.8-13ubuntu6.2
libavahi-common-data	0.8-13ubuntu6.2
libavahi-common3	0.8-13ubuntu6.2
libb-hooks-endofscope-perl	0.28-1
libb-hooks-op-check-perl	0.22-3build1
libbabeltrace1	1.5.11-3build3
libbibtex-parser-perl	1.04+dfsg-1
libbinutils	2.42-4ubuntu2.10
libbit-vector-perl	7.4-3build1
libblas-dev	3.12.0-3build1.1
libblas3	3.12.0-3build1.1
libblkid-dev	2.39.3-9ubuntu6.6
libblkid1	2.39.3-9ubuntu6.6
libblosc-dev	1.21.5+ds-1build1
libblosc1	1.21.5+ds-1build1
libboost-all-dev	1.83.0.1ubuntu2
libboost-atomic-dev	1.83.0.1ubuntu2
libboost-atomic1.74.0	1.74.0+ds1-23.1ubuntu3
libboost-atomic1.83-dev	1.83.0-2.1ubuntu3.2
libboost-atomic1.83.0	1.83.0-2.1ubuntu3.2
libboost-chrono-dev	1.83.0.1ubuntu2
libboost-chrono1.74.0t64	1.74.0+ds1-23.1ubuntu3
libboost-chrono1.83-dev	1.83.0-2.1ubuntu3.2
libboost-chrono1.83.0t64	1.83.0-2.1ubuntu3.2
libboost-container-dev	1.83.0.1ubuntu2
libboost-container1.83-dev	1.83.0-2.1ubuntu3.2
libboost-container1.83.0	1.83.0-2.1ubuntu3.2
libboost-context-dev	1.83.0.1ubuntu2
libboost-context1.83-dev	1.83.0-2.1ubuntu3.2
libboost-context1.83.0	1.83.0-2.1ubuntu3.2
libboost-coroutine-dev	1.83.0.1ubuntu2
libboost-coroutine1.83-dev	1.83.0-2.1ubuntu3.2
libboost-coroutine1.83.0	1.83.0-2.1ubuntu3.2
libboost-date-time-dev	1.83.0.1ubuntu2
libboost-date-time1.74.0	1.74.0+ds1-23.1ubuntu3
libboost-date-time1.83-dev	1.83.0-2.1ubuntu3.2
libboost-date-time1.83.0	1.83.0-2.1ubuntu3.2
libboost-dev	1.83.0.1ubuntu2
libboost-exception-dev	1.83.0.1ubuntu2
libboost-exception1.83-dev	1.83.0-2.1ubuntu3.2
libboost-fiber-dev	1.83.0.1ubuntu2
libboost-fiber1.83-dev	1.83.0-2.1ubuntu3.2
libboost-fiber1.83.0	1.83.0-2.1ubuntu3.2
libboost-filesystem-dev	1.83.0.1ubuntu2
libboost-filesystem1.74.0	1.74.0+ds1-23.1ubuntu3
libboost-filesystem1.83-dev	1.83.0-2.1ubuntu3.2
libboost-filesystem1.83.0	1.83.0-2.1ubuntu3.2
libboost-graph-dev	1.83.0.1ubuntu2
libboost-graph-parallel-dev	1.83.0.1ubuntu2
libboost-graph-parallel1.83-dev	1.83.0-2.1ubuntu3.2
libboost-graph-parallel1.83.0	1.83.0-2.1ubuntu3.2
libboost-graph1.83-dev	1.83.0-2.1ubuntu3.2
libboost-graph1.83.0	1.83.0-2.1ubuntu3.2
libboost-iostreams-dev	1.83.0.1ubuntu2
libboost-iostreams1.83-dev	1.83.0-2.1ubuntu3.2
libboost-iostreams1.83.0	1.83.0-2.1ubuntu3.2
libboost-json-dev	1.83.0.1ubuntu2
libboost-json1.83-dev	1.83.0-2.1ubuntu3.2
libboost-json1.83.0	1.83.0-2.1ubuntu3.2
libboost-locale-dev	1.83.0.1ubuntu2
libboost-locale1.83-dev	1.83.0-2.1ubuntu3.2
libboost-locale1.83.0	1.83.0-2.1ubuntu3.2
libboost-log-dev	1.83.0.1ubuntu2
libboost-log1.74.0	1.74.0+ds1-23.1ubuntu3
libboost-log1.83-dev	1.83.0-2.1ubuntu3.2
libboost-log1.83.0	1.83.0-2.1ubuntu3.2
libboost-math-dev	1.83.0.1ubuntu2
libboost-math1.83-dev	1.83.0-2.1ubuntu3.2
libboost-math1.83.0	1.83.0-2.1ubuntu3.2
libboost-mpi-dev	1.83.0.1ubuntu2
libboost-mpi-python-dev	1.83.0.1ubuntu2
libboost-mpi-python1.83-dev	1.83.0-2.1ubuntu3.2
libboost-mpi-python1.83.0	1.83.0-2.1ubuntu3.2
libboost-mpi1.83-dev	1.83.0-2.1ubuntu3.2
libboost-mpi1.83.0	1.83.0-2.1ubuntu3.2
libboost-nowide-dev	1.83.0.1ubuntu2
libboost-nowide1.83-dev	1.83.0-2.1ubuntu3.2
libboost-nowide1.83.0	1.83.0-2.1ubuntu3.2
libboost-numpy-dev	1.83.0.1ubuntu2
libboost-numpy1.83-dev	1.83.0-2.1ubuntu3.2
libboost-numpy1.83.0	1.83.0-2.1ubuntu3.2
libboost-program-options-dev	1.83.0.1ubuntu2
libboost-program-options1.74.0	1.74.0+ds1-23.1ubuntu3
libboost-program-options1.83-dev	1.83.0-2.1ubuntu3.2
libboost-program-options1.83.0	1.83.0-2.1ubuntu3.2
libboost-python-dev	1.83.0.1ubuntu2
libboost-python1.83-dev	1.83.0-2.1ubuntu3.2
libboost-python1.83.0	1.83.0-2.1ubuntu3.2
libboost-random-dev	1.83.0.1ubuntu2
libboost-random1.83-dev	1.83.0-2.1ubuntu3.2
libboost-random1.83.0	1.83.0-2.1ubuntu3.2
libboost-regex-dev	1.83.0.1ubuntu2
libboost-regex1.74.0	1.74.0+ds1-23.1ubuntu3
libboost-regex1.83-dev	1.83.0-2.1ubuntu3.2
libboost-regex1.83.0	1.83.0-2.1ubuntu3.2
libboost-serialization-dev	1.83.0.1ubuntu2
libboost-serialization1.83-dev	1.83.0-2.1ubuntu3.2
libboost-serialization1.83.0	1.83.0-2.1ubuntu3.2
libboost-stacktrace-dev	1.83.0.1ubuntu2
libboost-stacktrace1.83-dev	1.83.0-2.1ubuntu3.2
libboost-stacktrace1.83.0	1.83.0-2.1ubuntu3.2
libboost-system-dev	1.83.0.1ubuntu2
libboost-system1.74.0	1.74.0+ds1-23.1ubuntu3
libboost-system1.83-dev	1.83.0-2.1ubuntu3.2
libboost-system1.83.0	1.83.0-2.1ubuntu3.2
libboost-test-dev	1.83.0.1ubuntu2
libboost-test1.83-dev	1.83.0-2.1ubuntu3.2
libboost-test1.83.0	1.83.0-2.1ubuntu3.2
libboost-thread-dev	1.83.0.1ubuntu2
libboost-thread1.74.0	1.74.0+ds1-23.1ubuntu3
libboost-thread1.83-dev	1.83.0-2.1ubuntu3.2
libboost-thread1.83.0	1.83.0-2.1ubuntu3.2
libboost-timer-dev	1.83.0.1ubuntu2
libboost-timer1.83-dev	1.83.0-2.1ubuntu3.2
libboost-timer1.83.0	1.83.0-2.1ubuntu3.2
libboost-tools-dev	1.83.0.1ubuntu2
libboost-type-erasure-dev	1.83.0.1ubuntu2
libboost-type-erasure1.83-dev	1.83.0-2.1ubuntu3.2
libboost-type-erasure1.83.0	1.83.0-2.1ubuntu3.2
libboost-url-dev	1.83.0.1ubuntu2
libboost-url1.83-dev	1.83.0-2.1ubuntu3.2
libboost-url1.83.0	1.83.0-2.1ubuntu3.2
libboost-wave-dev	1.83.0.1ubuntu2
libboost-wave1.83-dev	1.83.0-2.1ubuntu3.2
libboost-wave1.83.0	1.83.0-2.1ubuntu3.2
libboost1.83-dev	1.83.0-2.1ubuntu3.2
libboost1.83-tools-dev	1.83.0-2.1ubuntu3.2
libbpf1	1:1.3.0-2build2
libbrotli-dev	1.1.0-2build2
libbrotli1	1.1.0-2build2
libbsd0	0.12.1-1build1.1
libbtf2	1:7.6.1+dfsg-1build1
libbtparse2	0.89-1build3
libbusiness-isbn-data-perl	20240229.001-1
libbusiness-isbn-perl	3.009-1
libbusiness-ismn-perl	1.204-1
libbusiness-issn-perl	1.005-2
libbz2-1.0	1.0.8-5.1ubuntu0.1
libbz2-dev	1.0.8-5.1ubuntu0.1
libc-bin	2.39-0ubuntu8.9
libc-dev-bin	2.39-0ubuntu8.9
libc-devtools	2.39-0ubuntu8.9
libc6	2.39-0ubuntu8.9
libc6-dev	2.39-0ubuntu8.9
libcaf-openmpi-3t64	2.10.2+ds-2.1build2
libcairo-gobject2	1.18.0-3build1
libcairo2	1.18.0-3build1
libcamd3	1:7.6.1+dfsg-1build1
libcap-ng0	0.8.4-2build2
libcap2	1:2.66-5ubuntu2.4
libcap2-bin	1:2.66-5ubuntu2.4
libcares2	1.27.0-1.0ubuntu1
libcarp-clan-perl	6.08-2
libcbor0.10	0.10.2-1.2ubuntu2
libcc1-0	14.2.0-4ubuntu2~24.04.1
libccolamd3	1:7.6.1+dfsg-1build1
libcdd0t64	094m-1.1build1
libcdparanoia0	3.10.2+debian-14build3
libcfitsio-dev	4.3.1-1.1build2
libcfitsio-doc	4.3.1-1.1build2
libcfitsio10t64	4.3.1-1.1build2
libcholmod5	1:7.6.1+dfsg-1build1
libclass-accessor-perl	0.51-2
libclass-c3-perl	0.35-2
libclass-c3-xs-perl	0.15-1build6
libclass-data-inheritable-perl	0.08-3
libclass-inspector-perl	1.36-3
libclass-method-modifiers-perl	2.15-1
libclass-singleton-perl	1.6-2
libclass-xsaccessor-perl	1.19-4build4
libcln-dev	1.3.7-1
libcln6	1.3.7-1
libclone-perl	0.46-1build3
libcoarrays-dev	2.10.2+ds-2.1build2
libcoarrays-openmpi-dev	2.10.2+ds-2.1build2
libcolamd3	1:7.6.1+dfsg-1build1
libcolord2	1.4.7-1build2
libcom-err2	1.47.0-2.4~exp1ubuntu4.1
libcombblas2.0.0t64	2.0.0-3.1build2
libcommon-sense-perl	3.75-3build3
libcommons-logging-java	1.3.0-1ubuntu1
libcommons-parent-java	56-1
libcrypt-dev	1:4.4.36-4build1
libcrypt-rc4-perl	2.02-5
libcrypt1	1:4.4.36-4build1
libcryptsetup12	2:2.7.0-1ubuntu4.2
libctf-nobfd0	2.42-4ubuntu2.10
libctf0	2.42-4ubuntu2.10
libcups2t64	2.4.7-1.2ubuntu7.14
libcurl3t64-gnutls	8.5.0-2ubuntu10.13
libcurl4-openssl-dev	8.5.0-2ubuntu10.13
libcurl4t64	8.5.0-2ubuntu10.13
libcxsparse4	1:7.6.1+dfsg-1build1
libdata-compare-perl	1.29-1
libdata-dump-perl	1.25-1
libdata-optlist-perl	0.114-1
libdata-uniqid-perl	0.12-3
libdate-calc-perl	6.4-2
libdate-calc-xs-perl	6.4-2build4
libdate-manip-perl	6.95-1
libdate-simple-perl	3.0300-3build6
libdatetime-calendar-julian-perl	0.107-1
libdatetime-format-builder-perl	0.8300-1
libdatetime-format-strptime-perl	1.7900-1
libdatetime-locale-perl	1:1.37-1
libdatetime-perl	2:1.65-1build2
libdatetime-timezone-perl	1:2.62-1+2024a
libdatrie1	0.2.13-3build1
libdav1d-dev	1.4.1-1build1
libdav1d7	1.4.1-1build1
libdb5.3t64	5.3.28+dfsg2-7
libdbus-1-3	1.14.10-4ubuntu4.1
libdbus-glib-1-2	0.112-3build2
libdconf1	0.40.0-4ubuntu0.1
libde265-0	1.0.15-1ubuntu0.1
libde265-dev	1.0.15-1ubuntu0.1
libdebconfclient0	0.271ubuntu3
libdebuginfod-common	0.190-1.1ubuntu0.1
libdebuginfod1t64	0.190-1.1ubuntu0.1
libdee-1.0-4	1.2.7+17.10.20170616-7build5
libdeflate-dev	1.19-1build1.1
libdeflate0	1.19-1build1.1
libdevel-callchecker-perl	0.008-2build3
libdevel-caller-perl	2.07-1build3
libdevel-globaldestruction-perl	0.14-4
libdevel-lexalias-perl	0.05-3build4
libdevel-stacktrace-perl	2.0500-1
libdevmapper1.02.1	2:1.02.185-3ubuntu3.2
libdigest-perl-md5-perl	1.9-5
libdist-checkconflicts-perl	0.11-2
libdlib-data	19.24+dfsg-1.1build1
libdlib-dev	19.24+dfsg-1.1build1
libdlib19.1t64	19.24+dfsg-1.1build1
libdouble-conversion3	3.3.0-1build1
libdpkg-perl	1.22.6ubuntu6.6
libdrm-amdgpu1	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1	2.4.125-1ubuntu0.1~24.04.2
libdrm2	2.4.125-1ubuntu0.1~24.04.2
libduktape207	2.7.0+tests-0ubuntu3
libdw1t64	0.190-1.1ubuntu0.1
libdynaloader-functions-perl	0.003-3
libeatmydata1	131-1ubuntu1
libedit2	3.1-20230828-1build1
libegl-mesa0	25.2.8-0ubuntu0.24.04.2
libegl1	1.7.0-1build1
libeigen3-dev	3.4.0-4build0.1
libelf1t64	0.190-1.1ubuntu0.1
libemail-date-format-perl	1.008-1
libemf1	1.0.13-7build1
libencode-eucjpascii-perl	0.03-1build4
libencode-eucjpms-perl	0.07-3build13
libencode-hanextra-perl	0.23-6build4
libencode-jis2k-perl	0.05-1build3
libencode-locale-perl	1.05-3
libencode-perl	3.21-1build2
libepoxy0	1.5.10-1build1
liberror-perl	0.17029-2
libestr0	0.1.11-1build1
libeval-closure-perl	0.14-3
libevdev2	1.13.1+dfsg-1build1
libevent-2.1-7t64	2.1.12-stable-9ubuntu2.1
libevent-core-2.1-7t64	2.1.12-stable-9ubuntu2.1
libevent-dev	2.1.12-stable-9ubuntu2.1
libevent-extra-2.1-7t64	2.1.12-stable-9ubuntu2.1
libevent-openssl-2.1-7t64	2.1.12-stable-9ubuntu2.1
libevent-pthreads-2.1-7t64	2.1.12-stable-9ubuntu2.1
libexception-class-perl	1.45-1
libexpat1	2.6.1-2ubuntu0.4
libexpat1-dev	2.6.1-2ubuntu0.4
libexporter-tiny-perl	1.006002-1
libext2fs2t64	1.47.0-2.4~exp1ubuntu4.1
libfabric1	1.17.0-3build2
libfakeroot	1.33-1
libfastjson4	1.2304.0-1build1
libfdisk1	2.39.3-9ubuntu6.6
libfdt1	1.7.0-2build1
libffi-dev	3.4.6-1build1
libffi8	3.4.6-1build1
libfftw3-bin	3.3.10-1ubuntu3
libfftw3-dev	3.3.10-1ubuntu3
libfftw3-double3	3.3.10-1ubuntu3
libfftw3-long3	3.3.10-1ubuntu3
libfftw3-mpi3	3.3.10-1ubuntu3
libfftw3-quad3	3.3.10-1ubuntu3
libfftw3-single3	3.3.10-1ubuntu3
libfido2-1	1.14.0-1build3
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4ubuntu5
libfile-find-rule-perl	0.34-3ubuntu0.24.04.1
libfile-homedir-perl	1.006-2
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libfile-sharedir-perl	1.118-3
libfile-slurper-perl	0.014-1
libfile-which-perl	1.27-2
libflac12t64	1.4.3+ds-2.1ubuntu2
libflint-dev	3.0.1-3.1build1
libflint18t64	3.0.1-3.1build1
libfltk-gl1.3t64	1.3.8-6.1build2
libfltk1.3t64	1.3.8-6.1build2
libfont-afm-perl	1.20-4
libfontbox-java	1:1.8.16-5
libfontconfig-dev	2.15.0-1.1ubuntu2
libfontconfig1	2.15.0-1.1ubuntu2
libfontconfig1-dev	2.15.0-1.1ubuntu2
libfontenc1	1:1.1.8-1build1
libfreetype-dev	2.13.2+dfsg-1ubuntu0.1
libfreetype6	2.13.2+dfsg-1ubuntu0.1
libfreexl-dev	2.0.0-1build2
libfreexl1	2.0.0-1build2
libfribidi-dev	1.0.13-3build1
libfribidi0	1.0.13-3build1
libfuse3-3	3.14.0-5build1
libfxt2t64	0.3.13-4.1build1
libfyba-dev	4.1.1-11build1
libfyba0t64	4.1.1-11build1
libgbm1	25.2.8-0ubuntu0.24.04.2
libgcc-13-dev	13.3.0-6ubuntu2~24.04.1
libgcc-s1	14.2.0-4ubuntu2~24.04.1
libgcrypt20	1.10.3-2ubuntu0.2
libgd3	2.3.3-9ubuntu5
libgdal-dev	3.8.4+dfsg-3ubuntu3
libgdal34t64	3.8.4+dfsg-3ubuntu3
libgdbm-compat4t64	1.23-5.1build1
libgdbm6t64	1.23-5.1build1
libgdk-pixbuf-2.0-0	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgee-0.8-2	0.20.6-1build2
libgeos-c1t64	3.12.1-3build1
libgeos-dev	3.12.1-3build1
libgeos3.12.1t64	3.12.1-3build1
libgeotiff-dev	1.7.1-5build1
libgeotiff5	1.7.1-5build1
libgfortran-13-dev	13.3.0-6ubuntu2~24.04.1
libgfortran5	14.2.0-4ubuntu2~24.04.1
libgif-dev	5.2.2-1ubuntu1.2
libgif7	5.2.2-1ubuntu1.2
libginac-dev	1.8.7-1build2
libginac11	1.8.7-1build2
libgirepository-1.0-1	1.80.1-1
libgirepository-2.0-0	2.80.0-6ubuntu3.8
libgl-dev	1.7.0-1build1
libgl1	1.7.0-1build1
libgl1-mesa-dri	25.2.8-0ubuntu0.24.04.2
libgl2ps1.4	1.4.2+dfsg1-2build1
libgles2	1.7.0-1build1
